note: LEMMATIZER_BATCH_LOG is unset; the run will proceed but nothing will be recorded.
loading up to 10000000 tokens from fiction_pp.txt ...
loaded 10000000 distinct token slots

      tokens    sentences    staged ms     fused ms   speedup identical
      200000        16667       377.46         2.06   183.53x yes
     1000000        83334        21.63         5.14     4.21x yes
     4000000       333334        48.13        10.95     4.39x yes
    10000000       833334       105.70        25.36     4.17x yes
      200000        16667        13.51         1.98     6.82x yes
     1000000        83334        22.94         4.75     4.83x yes
     4000000       333334        47.17        10.84     4.35x yes
    10000000       833334        99.30        23.37     4.25x yes
      200000        16667        12.49         1.70     7.33x yes
     1000000        83334        22.81         5.00     4.57x yes
     4000000       333334        46.04        10.69     4.31x yes
    10000000       833334       105.61        22.78     4.64x yes
      200000        16667        11.22         1.69     6.64x yes
     1000000        83334        20.12         4.27     4.71x yes
     4000000       333334        45.89        10.42     4.40x yes
    10000000       833334        99.07        24.87     3.98x yes
done
