sentences,tokens,token_bytes,split_ms,explode_ms,lookup_ms,group_ms,join_ms,total_ms
4167,50000,488969,61.7966,3.1225,271.6688,46.7139,1.4460,384.7478
16667,200000,1968293,3.4193,1.3173,2.2427,3.0137,0.9802,10.9733
83334,1000000,9816291,5.7600,2.7577,3.8294,6.1760,1.5363,20.0595
333334,4000000,39279799,13.5222,5.5580,10.5520,12.0502,4.7087,46.3911
4167,50000,488969,1.5665,0.1826,1.2860,0.6581,0.5145,4.2077
16667,200000,1968293,3.0514,1.2596,2.2618,2.9991,0.9954,10.5673
83334,1000000,9816291,5.5058,2.8365,3.8469,5.9922,1.5507,19.7321
333334,4000000,39279799,13.7182,5.4763,10.1127,12.1204,5.5675,46.9951
4167,50000,488969,1.4550,0.1799,1.5825,0.6554,0.5190,4.3918
16667,200000,1968293,3.2227,1.3734,2.2418,3.4874,1.1708,11.4962
83334,1000000,9816291,5.6319,2.9090,3.7595,6.0772,1.5133,19.8909
333334,4000000,39279799,14.0080,5.5782,10.0843,12.0606,4.3423,46.0733
