tokens,unique,type_token,hit_pct,corpus_mb,variant,prep_ms,lookup_ms,best_ms,speedup,mwords_per_s,ns_per_token
1000000,143015,0.143,84.44,11.9,0 baseline,0.0,0.561,0.559,1.0,1783.1,0.561
1000000,143015,0.143,84.44,11.9,2 gpu-sort-8B,0.43,0.18,0.179,3.11,5548.7,0.18
1000000,143015,0.143,84.44,11.9,2b gpu-full,3.752,0.186,0.184,3.02,5378.0,0.186
1000000,143015,0.143,84.44,11.9,3 gpu-prefix,0.134,0.207,0.207,2.71,4833.5,0.207
1000000,143015,0.143,84.44,11.9,4 gpu-partition,0.404,0.277,0.276,2.03,3612.4,0.277
1000000,143015,0.143,84.44,11.9,6 sort+compact,1.117,0.091,0.091,6.15,10973.9,0.091
1000000,143015,0.143,84.44,11.9,6b sort-2B+compact,0.934,0.146,0.146,3.83,6829.1,0.146
2000000,205706,0.1029,85.99,23.8,0 baseline,0.0,1.095,1.093,1.0,1827.1,0.547
2000000,205706,0.1029,85.99,23.8,2 gpu-sort-8B,0.727,0.339,0.338,3.23,5900.7,0.17
2000000,205706,0.1029,85.99,23.8,2b gpu-full,5.105,0.357,0.356,3.07,5605.0,0.178
2000000,205706,0.1029,85.99,23.8,3 gpu-prefix,0.21,0.381,0.379,2.88,5255.0,0.191
2000000,205706,0.1029,85.99,23.8,4 gpu-partition,0.767,0.518,0.515,2.11,3857.5,0.259
2000000,205706,0.1029,85.99,23.8,6 sort+compact,1.762,0.213,0.212,5.14,9390.0,0.106
2000000,205706,0.1029,85.99,23.8,6b sort-2B+compact,1.408,0.3,0.3,3.64,6656.7,0.15
5000000,425380,0.0851,84.97,59.5,0 baseline,0.0,2.691,2.687,1.0,1858.0,0.538
5000000,425380,0.0851,84.97,59.5,2 gpu-sort-8B,1.67,1.54,1.537,1.75,3246.6,0.308
5000000,425380,0.0851,84.97,59.5,2b gpu-full,13.751,1.6,1.6,1.68,3124.4,0.32
5000000,425380,0.0851,84.97,59.5,3 gpu-prefix,0.91,1.382,1.382,1.95,3616.9,0.276
5000000,425380,0.0851,84.97,59.5,4 gpu-partition,1.875,1.466,1.462,1.84,3410.5,0.293
5000000,425380,0.0851,84.97,59.5,6 sort+compact,4.833,0.457,0.456,5.89,10950.1,0.091
5000000,425380,0.0851,84.97,59.5,6b sort-2B+compact,3.349,0.695,0.692,3.87,7198.2,0.139
10000000,688368,0.0688,85.42,119.0,0 baseline,0.0,5.395,5.389,1.0,1853.5,0.539
10000000,688368,0.0688,85.42,119.0,2 gpu-sort-8B,3.707,4.279,4.265,1.26,2337.0,0.428
10000000,688368,0.0688,85.42,119.0,2b gpu-full,30.482,4.478,4.458,1.2,2233.3,0.448
10000000,688368,0.0688,85.42,119.0,3 gpu-prefix,2.069,3.642,3.611,1.48,2746.0,0.364
10000000,688368,0.0688,85.42,119.0,4 gpu-partition,3.943,3.294,3.273,1.64,3036.1,0.329
10000000,688368,0.0688,85.42,119.0,6 sort+compact,10.539,1.158,1.157,4.66,8632.0,0.116
10000000,688368,0.0688,85.42,119.0,6b sort-2B+compact,6.934,1.475,1.474,3.66,6781.5,0.147
20000000,1142294,0.0571,85.2,238.0,0 baseline,0.0,10.706,10.702,1.0,1868.1,0.535
20000000,1142294,0.0571,85.2,238.0,2 gpu-sort-8B,7.378,9.971,9.942,1.07,2005.7,0.499
20000000,1142294,0.0571,85.2,238.0,2b gpu-full,70.799,10.412,10.397,1.03,1920.9,0.521
20000000,1142294,0.0571,85.2,238.0,3 gpu-prefix,4.233,8.384,8.347,1.28,2385.4,0.419
20000000,1142294,0.0571,85.2,238.0,4 gpu-partition,7.92,7.106,6.934,1.51,2814.7,0.355
20000000,1142294,0.0571,85.2,238.0,6 sort+compact,22.642,3.184,3.169,3.36,6280.8,0.159
20000000,1142294,0.0571,85.2,238.0,6b sort-2B+compact,14.413,3.197,3.196,3.35,6255.3,0.16
35000000,1688852,0.0483,84.22,416.5,0 baseline,0.0,18.377,18.371,1.0,1904.5,0.525
35000000,1688852,0.0483,84.22,416.5,2 gpu-sort-8B,12.993,19.376,18.521,0.95,1806.4,0.554
35000000,1688852,0.0483,84.22,416.5,2b gpu-full,211.833,19.997,19.361,0.92,1750.2,0.571
35000000,1688852,0.0483,84.22,416.5,3 gpu-prefix,7.52,15.699,15.383,1.17,2229.5,0.449
35000000,1688852,0.0483,84.22,416.5,4 gpu-partition,13.133,12.421,12.406,1.48,2817.9,0.355
35000000,1688852,0.0483,84.22,416.5,6 sort+compact,40.132,6.788,6.757,2.71,5156.4,0.194
35000000,1688852,0.0483,84.22,416.5,6b sort-2B+compact,25.909,5.711,5.706,3.22,6128.7,0.163
49999989,2172988,0.0435,83.8,595.0,0 baseline,0.0,25.938,25.868,1.0,1927.7,0.519
49999989,2172988,0.0435,83.8,595.0,2 gpu-sort-8B,20.38,28.313,27.295,0.92,1766.0,0.566
49999989,2172988,0.0435,83.8,595.0,2b gpu-full,309.276,29.576,28.525,0.88,1690.5,0.592
49999989,2172988,0.0435,83.8,595.0,3 gpu-prefix,10.704,22.809,22.5,1.14,2192.1,0.456
49999989,2172988,0.0435,83.8,595.0,4 gpu-partition,18.751,18.785,17.846,1.38,2661.8,0.376
49999989,2172988,0.0435,83.8,595.0,6 sort+compact,58.875,10.513,10.489,2.47,4756.1,0.21
49999989,2172988,0.0435,83.8,595.0,6b sort-2B+compact,34.599,8.233,8.212,3.15,6073.4,0.165
