tokens,unique,type_token,hit_pct,corpus_mb,variant,prep_ms,lookup_ms,best_ms,speedup,mwords_per_s,ns_per_token,k_runs
1000000,143015,0.143,84.44,11.9,0 baseline,0.000,0.560,0.560,1.00,1785.7,0.560,5
1000000,143015,0.143,84.44,11.9,2 gpu-sort-8B,0.189,0.183,0.183,3.06,5464.5,0.183,5
1000000,143015,0.143,84.44,11.9,2b gpu-full,3.013,0.190,0.190,2.95,5263.2,0.190,5
1000000,143015,0.143,84.44,11.9,3 gpu-prefix,0.098,0.208,0.208,2.69,4807.7,0.208,5
1000000,143015,0.143,84.44,11.9,4 gpu-partition,0.376,0.272,0.272,2.06,3676.5,0.272,5
1000000,143015,0.143,84.44,11.9,6 sort+compact,1.102,0.091,0.091,6.15,10989.0,0.091,5
1000000,143015,0.143,84.44,11.9,6b sort-2B+compact,0.929,0.146,0.146,3.84,6849.3,0.146,5
2000000,205706,0.1029,85.99,23.8,0 baseline,0.000,1.095,1.095,1.00,1826.5,0.547,5
2000000,205706,0.1029,85.99,23.8,2 gpu-sort-8B,0.322,0.339,0.339,3.23,5899.7,0.170,5
2000000,205706,0.1029,85.99,23.8,2b gpu-full,4.673,0.358,0.358,3.06,5586.6,0.179,5
2000000,205706,0.1029,85.99,23.8,3 gpu-prefix,0.186,0.385,0.385,2.84,5194.8,0.193,5
2000000,205706,0.1029,85.99,23.8,4 gpu-partition,0.710,0.520,0.520,2.11,3846.2,0.260,5
2000000,205706,0.1029,85.99,23.8,6 sort+compact,1.786,0.213,0.213,5.14,9389.7,0.106,5
2000000,205706,0.1029,85.99,23.8,6b sort-2B+compact,1.492,0.298,0.298,3.67,6711.4,0.149,5
5000000,425380,0.0851,84.97,59.5,0 baseline,0.000,2.688,2.688,1.00,1860.1,0.538,5
5000000,425380,0.0851,84.97,59.5,2 gpu-sort-8B,1.598,1.541,1.541,1.74,3244.6,0.308,5
5000000,425380,0.0851,84.97,59.5,2b gpu-full,13.315,1.603,1.603,1.68,3119.2,0.321,5
5000000,425380,0.0851,84.97,59.5,3 gpu-prefix,0.879,1.390,1.390,1.93,3597.1,0.278,5
5000000,425380,0.0851,84.97,59.5,4 gpu-partition,1.847,1.477,1.477,1.82,3385.2,0.295,5
5000000,425380,0.0851,84.97,59.5,6 sort+compact,4.818,0.455,0.455,5.91,10989.0,0.091,5
5000000,425380,0.0851,84.97,59.5,6b sort-2B+compact,3.363,0.694,0.694,3.87,7204.6,0.139,5
10000000,688368,0.0688,85.42,119.0,0 baseline,0.000,5.379,5.379,1.00,1859.1,0.538,5
10000000,688368,0.0688,85.42,119.0,2 gpu-sort-8B,3.596,4.287,4.287,1.25,2332.6,0.429,5
10000000,688368,0.0688,85.42,119.0,2b gpu-full,27.281,4.472,4.472,1.20,2236.1,0.447,5
10000000,688368,0.0688,85.42,119.0,3 gpu-prefix,2.034,3.643,3.643,1.48,2745.0,0.364,5
10000000,688368,0.0688,85.42,119.0,4 gpu-partition,3.728,3.330,3.330,1.62,3003.0,0.333,5
10000000,688368,0.0688,85.42,119.0,6 sort+compact,10.358,1.157,1.157,4.65,8643.0,0.116,5
10000000,688368,0.0688,85.42,119.0,6b sort-2B+compact,6.740,1.477,1.477,3.64,6770.5,0.148,5
20000000,1142294,0.0571,85.2,238.0,0 baseline,0.000,10.683,10.683,1.00,1872.1,0.534,5
20000000,1142294,0.0571,85.2,238.0,2 gpu-sort-8B,7.366,9.961,9.961,1.07,2007.8,0.498,5
20000000,1142294,0.0571,85.2,238.0,2b gpu-full,69.426,10.397,10.397,1.03,1923.6,0.520,5
20000000,1142294,0.0571,85.2,238.0,3 gpu-prefix,4.212,8.384,8.384,1.27,2385.5,0.419,5
20000000,1142294,0.0571,85.2,238.0,4 gpu-partition,7.515,7.075,7.075,1.51,2826.9,0.354,5
20000000,1142294,0.0571,85.2,238.0,6 sort+compact,22.459,3.178,3.178,3.36,6293.3,0.159,5
20000000,1142294,0.0571,85.2,238.0,6b sort-2B+compact,13.807,3.214,3.214,3.32,6222.8,0.161,5
35000000,1688852,0.0483,84.22,416.5,0 baseline,0.000,18.329,18.329,1.00,1909.5,0.524,5
35000000,1688852,0.0483,84.22,416.5,2 gpu-sort-8B,12.913,18.540,18.540,0.99,1887.8,0.530,5
35000000,1688852,0.0483,84.22,416.5,2b gpu-full,204.319,19.378,19.378,0.95,1806.2,0.554,5
35000000,1688852,0.0483,84.22,416.5,3 gpu-prefix,7.398,15.427,15.427,1.19,2268.7,0.441,5
35000000,1688852,0.0483,84.22,416.5,4 gpu-partition,13.112,12.509,12.509,1.47,2798.0,0.357,5
35000000,1688852,0.0483,84.22,416.5,6 sort+compact,40.202,6.765,6.765,2.71,5173.7,0.193,5
35000000,1688852,0.0483,84.22,416.5,6b sort-2B+compact,24.043,5.737,5.737,3.19,6100.7,0.164,5
50000000,2172988,0.0435,83.8,595.0,0 baseline,0.000,25.901,25.901,1.00,1930.4,0.518,5
50000000,2172988,0.0435,83.8,595.0,2 gpu-sort-8B,18.502,27.331,27.331,0.95,1829.4,0.547,5
50000000,2172988,0.0435,83.8,595.0,2b gpu-full,299.850,28.573,28.573,0.91,1749.9,0.571,5
50000000,2172988,0.0435,83.8,595.0,3 gpu-prefix,10.638,22.571,22.571,1.15,2215.2,0.451,5
50000000,2172988,0.0435,83.8,595.0,4 gpu-partition,18.643,17.989,17.989,1.44,2779.5,0.360,5
50000000,2172988,0.0435,83.8,595.0,6 sort+compact,57.652,10.514,10.514,2.46,4755.6,0.210,5
50000000,2172988,0.0435,83.8,595.0,6b sort-2B+compact,34.100,8.267,8.267,3.13,6048.1,0.165,5
