tokens,unique,type_token,hit_pct,corpus_mb,variant,prep_ms,lookup_ms,best_ms,speedup,mwords_per_s,ns_per_token
500000,91113,0.1822,84.01,6.0,0 baseline,0.0,0.275,0.272,1.0,1817.9,0.55
500000,91113,0.1822,84.01,6.0,2 gpu-sort-8B,0.403,0.098,0.098,2.8,5086.3,0.196
500000,91113,0.1822,84.01,6.0,2b gpu-full,3.01,0.098,0.098,2.8,5096.9,0.196
500000,91113,0.1822,84.01,6.0,3 gpu-prefix,0.106,0.108,0.107,2.55,4631.8,0.216
500000,91113,0.1822,84.01,6.0,4 gpu-partition,0.222,0.14,0.14,1.96,3564.1,0.28
500000,91113,0.1822,84.01,6.0,6 sort+compact,0.821,0.051,0.05,5.42,9844.4,0.102
500000,91113,0.1822,84.01,6.0,6b sort-2B+compact,0.615,0.08,0.08,3.42,6212.2,0.16
1000000,143015,0.143,84.44,11.9,0 baseline,0.0,0.56,0.559,1.0,1785.7,0.56
1000000,143015,0.143,84.44,11.9,2 gpu-sort-8B,0.419,0.179,0.179,3.13,5581.4,0.179
1000000,143015,0.143,84.44,11.9,2b gpu-full,3.57,0.184,0.183,3.04,5437.4,0.184
1000000,143015,0.143,84.44,11.9,3 gpu-prefix,0.133,0.208,0.206,2.7,4816.3,0.208
1000000,143015,0.143,84.44,11.9,4 gpu-partition,0.379,0.278,0.277,2.02,3603.6,0.278
1000000,143015,0.143,84.44,11.9,6 sort+compact,1.044,0.089,0.089,6.26,11173.5,0.089
1000000,143015,0.143,84.44,11.9,6b sort-2B+compact,0.938,0.146,0.146,3.84,6850.4,0.146
1500000,188109,0.1254,85.28,17.9,0 baseline,0.0,0.837,0.835,1.0,1791.7,0.558
1500000,188109,0.1254,85.28,17.9,2 gpu-sort-8B,0.411,0.259,0.258,3.23,5794.5,0.173
1500000,188109,0.1254,85.28,17.9,2b gpu-full,4.629,0.271,0.269,3.09,5531.9,0.181
1500000,188109,0.1254,85.28,17.9,3 gpu-prefix,0.183,0.298,0.297,2.81,5041.0,0.199
1500000,188109,0.1254,85.28,17.9,4 gpu-partition,0.559,0.417,0.416,2.01,3599.3,0.278
1500000,188109,0.1254,85.28,17.9,6 sort+compact,1.367,0.153,0.153,5.46,9777.0,0.102
1500000,188109,0.1254,85.28,17.9,6b sort-2B+compact,1.127,0.225,0.224,3.72,6664.4,0.15
2000000,205706,0.1029,85.99,23.8,0 baseline,0.0,1.095,1.093,1.0,1826.4,0.547
2000000,205706,0.1029,85.99,23.8,2 gpu-sort-8B,0.489,0.339,0.338,3.23,5907.9,0.17
