tokens,unique,type_token,hit_pct,corpus_mb,variant,prep_ms,lookup_ms,best_ms,speedup,mwords_per_s,ns_per_token
500000,91113,0.1822,84.01,6.0,0 baseline,0.0,0.275,0.273,1.0,1816.5,0.55
500000,91113,0.1822,84.01,6.0,2 gpu-sort-8B,0.141,0.098,0.098,2.81,5096.9,0.196
500000,91113,0.1822,84.01,6.0,2b gpu-full,2.442,0.098,0.097,2.81,5107.5,0.196
500000,91113,0.1822,84.01,6.0,3 gpu-prefix,0.069,0.108,0.107,2.56,4650.3,0.216
500000,91113,0.1822,84.01,6.0,4 gpu-partition,0.195,0.14,0.139,1.97,3579.8,0.28
500000,91113,0.1822,84.01,6.0,6 sort+compact,0.759,0.051,0.05,5.38,9765.6,0.102
500000,91113,0.1822,84.01,6.0,6b sort-2B+compact,0.663,0.081,0.08,3.4,6181.3,0.162
1000000,143015,0.143,84.44,11.9,0 baseline,0.0,0.561,0.557,1.0,1783.1,0.561
1000000,143015,0.143,84.44,11.9,2 gpu-sort-8B,0.179,0.179,0.179,3.13,5579.2,0.179
1000000,143015,0.143,84.44,11.9,2b gpu-full,2.943,0.184,0.183,3.05,5437.4,0.184
1000000,143015,0.143,84.44,11.9,3 gpu-prefix,0.093,0.207,0.204,2.71,4839.3,0.207
1000000,143015,0.143,84.44,11.9,4 gpu-partition,0.354,0.277,0.274,2.03,3614.7,0.277
1000000,143015,0.143,84.44,11.9,6 sort+compact,1.041,0.09,0.089,6.25,11148.0,0.09
1000000,143015,0.143,84.44,11.9,6b sort-2B+compact,0.878,0.146,0.146,3.84,6848.3,0.146
1500000,188109,0.1254,85.28,17.9,0 baseline,0.0,0.837,0.836,1.0,1792.5,0.558
1500000,188109,0.1254,85.28,17.9,2 gpu-sort-8B,0.236,0.259,0.259,3.23,5789.9,0.173
1500000,188109,0.1254,85.28,17.9,2b gpu-full,3.531,0.271,0.268,3.09,5531.9,0.181
1500000,188109,0.1254,85.28,17.9,3 gpu-prefix,0.134,0.297,0.296,2.81,5044.2,0.198
1500000,188109,0.1254,85.28,17.9,4 gpu-partition,0.53,0.417,0.415,2.01,3601.4,0.278
1500000,188109,0.1254,85.28,17.9,6 sort+compact,1.361,0.153,0.153,5.45,9776.6,0.102
1500000,188109,0.1254,85.28,17.9,6b sort-2B+compact,1.184,0.224,0.224,3.73,6682.7,0.149
2000000,205706,0.1029,85.99,23.8,0 baseline,0.0,1.096,1.095,1.0,1824.2,0.548
2000000,205706,0.1029,85.99,23.8,2 gpu-sort-8B,0.326,0.338,0.337,3.25,5925.7,0.169
2000000,205706,0.1029,85.99,23.8,2b gpu-full,4.465,0.356,0.355,3.08,5619.3,0.178
2000000,205706,0.1029,85.99,23.8,3 gpu-prefix,0.189,0.379,0.379,2.89,5270.6,0.19
2000000,205706,0.1029,85.99,23.8,4 gpu-partition,0.711,0.515,0.514,2.13,3879.9,0.258
2000000,205706,0.1029,85.99,23.8,6 sort+compact,1.712,0.212,0.211,5.18,9444.5,0.106
2000000,205706,0.1029,85.99,23.8,6b sort-2B+compact,1.434,0.3,0.3,3.65,6666.0,0.15
3000000,288228,0.0961,85.01,35.7,0 baseline,0.0,1.63,1.624,1.0,1840.7,0.543
3000000,288228,0.0961,85.01,35.7,2 gpu-sort-8B,0.653,0.507,0.505,3.22,5920.1,0.169
3000000,288228,0.0961,85.01,35.7,2b gpu-full,7.389,0.523,0.52,3.12,5739.6,0.174
3000000,288228,0.0961,85.01,35.7,3 gpu-prefix,0.364,0.57,0.568,2.86,5263.5,0.19
3000000,288228,0.0961,85.01,35.7,4 gpu-partition,1.073,0.78,0.777,2.09,3844.9,0.26
3000000,288228,0.0961,85.01,35.7,6 sort+compact,2.623,0.299,0.298,5.46,10046.7,0.1
3000000,288228,0.0961,85.01,35.7,6b sort-2B+compact,2.082,0.437,0.437,3.73,6861.1,0.146
4000000,358821,0.0897,84.98,47.6,0 baseline,0.0,2.158,2.154,1.0,1853.8,0.539
4000000,358821,0.0897,84.98,47.6,2 gpu-sort-8B,1.126,0.975,0.974,2.21,4100.6,0.244
4000000,358821,0.0897,84.98,47.6,2b gpu-full,10.218,1.0,0.999,2.16,3999.0,0.25
4000000,358821,0.0897,84.98,47.6,3 gpu-prefix,0.62,0.944,0.943,2.29,4236.9,0.236
4000000,358821,0.0897,84.98,47.6,4 gpu-partition,1.47,1.098,1.095,1.97,3644.0,0.275
4000000,358821,0.0897,84.98,47.6,6 sort+compact,3.734,0.377,0.376,5.73,10620.0,0.094
4000000,358821,0.0897,84.98,47.6,6b sort-2B+compact,2.72,0.563,0.562,3.83,7102.3,0.141
5000000,425380,0.0851,84.97,59.5,0 baseline,0.0,2.69,2.686,1.0,1859.0,0.538
5000000,425380,0.0851,84.97,59.5,2 gpu-sort-8B,1.608,1.543,1.54,1.74,3241.0,0.309
